CMDLINE /home/jhgalino/Documents/Code/Python/MPv2/bin/python MPG.py
MEM 1.617188 1595491824.2733
MEM 14.175781 1595491824.3739
MEM 14.175781 1595491824.4745
MEM 14.175781 1595491824.5752
MEM 14.175781 1595491824.6760
MEM 14.175781 1595491824.7769
MEM 14.175781 1595491824.8773
MEM 14.175781 1595491824.9778
MEM 14.175781 1595491825.0781
MEM 14.175781 1595491825.1788
MEM 14.175781 1595491825.2794
MEM 14.175781 1595491825.3799
MEM 14.175781 1595491825.4803
MEM 14.175781 1595491825.5810
MEM 14.175781 1595491825.6814
MEM 14.175781 1595491825.7821
MEM 14.175781 1595491825.8829
MEM 14.175781 1595491825.9837
MEM 14.175781 1595491826.0844
MEM 14.175781 1595491826.1856
MEM 14.175781 1595491826.2861
MEM 14.175781 1595491826.3865
MEM 14.175781 1595491826.4873
MEM 14.175781 1595491826.5880
MEM 14.175781 1595491826.6888
MEM 14.175781 1595491826.7897
MEM 14.175781 1595491826.8905
MEM 14.175781 1595491826.9913
MEM 14.175781 1595491827.0922
MEM 14.175781 1595491827.1929
MEM 14.175781 1595491827.2936
MEM 14.175781 1595491827.3943
MEM 14.175781 1595491827.4951
MEM 14.175781 1595491827.5957
MEM 14.175781 1595491827.6971
MEM 14.175781 1595491827.7981
MEM 14.175781 1595491827.8990
MEM 14.175781 1595491827.9999
